CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ALMATY,TASHKENT,0.0,0.0,49.18638,0.0
BANGKOK,HO CHI MINH CITY,0.0,0.0,51.0,0.0
BISHKEK,DUSHANBE,0.0,0.0,1.2,0.0
BOKHTAR,KABUL,0.0,0.0,26.614,0.0
BRISBANE,SYDNEY,0.0,0.0,1.284,0.0
COLOMBO,MALE,0.0,0.0,261.0,8.0
DUBAI,ABUDHABI,42.0,0.0,0.0,0.0
HONG KONG,LIEGE,0.0,0.0,26.807,0.0
Milan Bergamo ,ISTANBUL,1628.0,1563.0,0.0,0.0
RAS AL-KHAIMAH,IKEJA,0.0,0.0,22.038610000000002,0.0
RAS AL-KHAIMAH,KHARTOUM,0.0,0.0,351.59427999999997,0.0
RAS AL-KHAIMAH,KIEV,0.0,0.0,16.8212,0.0
ROME,ISTANBUL,855.0,1304.0,5.0,5.0
SEOUL,HONG KONG,0.0,0.0,9.757,0.0
SINGAPORE,TANGERANG,0.0,0.0,6.0,0.0
