CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ABUDHABI,AHMEDABAD,3308.0,1074.0,276.529,992.935
ABUDHABI,AMRITSAR,4032.0,258.0,0.196,0.0
ABUDHABI,BENGALURU,3685.0,2263.0,613.632,1089.406
ABUDHABI,CHENNAI,6621.0,4559.0,533.671,902.201
ABUDHABI,DELHI,18782.0,7584.0,772.673,1783.8866000000003
ABUDHABI,HYDERABAD,6154.0,2899.0,220.118,381.401
ABUDHABI,KOCHI,15800.0,10605.0,296.01,512.784
ABUDHABI,KOZHIKODE,9736.0,6382.0,12.62,54.64
ABUDHABI,LUCKNOW,7004.0,0.0,0.551,0.0
ABUDHABI,MUMBAI,8796.0,5761.0,1065.142,1764.6572999999999
ABUDHABI,TIRUCHIRAPALLY,3507.0,1976.0,0.838,11.48
ABUDHABI,TRIVANDRUM,7576.0,4991.0,1.454,115.777
ABUDHABI,KANNUR,7959.0,3864.0,0.0,0.0
ABUDHABI,VIJAYAWADA,324.0,0.0,0.0,0.0
ABUDHABI,MADURAI,336.0,0.0,0.0,0.0
ABUDHABI,MANGALORE,1903.0,927.0,0.16,7.195
ADDIS ABABA,DELHI,2041.0,2196.0,76.436,111.293
ADEN,MUMBAI,738.0,622.0,0.0,5.6615
ALMATY,DELHI,2.0,297.0,2.922,470.33066
ALMATY,HYDERABAD,0.0,0.0,0.0,32.20682
AMSTERDAM,DELHI,8696.0,10850.0,1075.642,1031.094
AMSTERDAM,MUMBAI,3762.0,8470.0,905.737,1179.67
ASTANA,DELHI,175.0,0.0,0.0,0.0
BAGHDAD,DELHI,3727.0,4977.0,0.0,2.44
BAHRAIN,BENGALURU,814.0,617.0,708.268,9.449
BAHRAIN,CHENNAI,2268.0,2053.0,2.212,40.303
BAHRAIN,DELHI,4938.0,4172.0,7.8625,94.4469
BAHRAIN,HYDERABAD,1865.0,1312.0,0.0,29.303
BAHRAIN,KOCHI,4504.0,2982.0,0.97,89.601
BAHRAIN,KOZHIKODE,4913.0,2682.0,0.611,134.78
BAHRAIN,MUMBAI,1313.0,2540.0,2.703,83.3655
BAHRAIN,TRIVANDRUM,2450.0,1895.0,1.151,58.509
BAHRAIN,KANNUR,1041.0,698.0,0.0,0.04
BAHRAIN,MANGALORE,148.0,111.0,0.0,0.0
BANGKOK,BENGALURU,0.0,0.0,6147.499,0.0
BANGKOK,CHENNAI,113.0,379.0,315.855,64.583
BANGKOK,DELHI,1787.0,697.0,1928.092,707.7776899999999
BANGKOK,HYDERABAD,0.0,0.0,0.0,25.121089999999995
BANGKOK,KOLKATA,0.0,0.0,70.0,398.0
BANGKOK,MUMBAI,0.0,0.0,1462.317,1017.9791200000001
BISHKEK,DELHI,0.0,0.0,0.0,23.7989
BOKHTAR,DELHI,0.0,0.0,0.0,26.614
BRISBANE,DELHI,0.0,513.0,0.0,5.326
BRUSELLS,MUMBAI,0.0,0.0,0.0,78.93288000000001
CHICAGO,DELHI,33935.0,37911.0,1013.53523,1078.83649
CHICAGO,HYDERABAD,2615.0,2251.0,22.5356,85.9625
CHITTAGONG,KOLKATA,3012.0,3535.0,0.0,14.763
COLOMBO,BENGALURU,0.0,0.0,3.66,20.534
COLOMBO,CHENNAI,2495.0,1636.0,972.181,904.7243
COLOMBO,DELHI,383.0,3839.0,185.108,222.57989999999998
COLOMBO,KOCHI,385.0,8.0,0.3,6.771
COLOMBO,MUMBAI,339.0,323.0,808.699,424.848
COLOMBO,MANGALORE,32.0,0.0,0.0,0.0
DAMMAM,CHENNAI,530.0,0.0,0.285,0.948
DAMMAM,DELHI,8052.0,0.0,1.075,0.835
DAMMAM,HYDERABAD,2345.0,0.0,0.0,20.215
DAMMAM,KOCHI,3297.0,0.0,0.0,25.742
DAMMAM,KOZHIKODE,4766.0,0.0,0.0,134.37
DAMMAM,LUCKNOW,9614.0,0.0,0.81,0.0
DAMMAM,MUMBAI,1811.0,0.0,0.0,23.89
DAMMAM,TIRUCHIRAPALLY,1688.0,0.0,0.0,4.159
DAMMAM,TRIVANDRUM,4529.0,0.0,0.0,58.1
DAMMAM,KANNUR,1799.0,0.0,0.0,0.046
DAMMAM,MANGALORE,2725.0,0.0,0.0,0.984
DHAKA,CHENNAI,3174.0,3236.0,34.532,46.62585000000001
DHAKA,DELHI,10125.0,9245.0,269.854,273.51892
DHAKA,KOLKATA,14016.0,17311.0,225.69,1840.55782
DHAKA,MUMBAI,0.0,0.0,10.832,209.2815
DOHA,AHMEDABAD,2174.0,1420.0,1223.88853,2115.13048
DOHA,AMRITSAR,4461.0,2633.0,0.672,20.299049999999998
DOHA,BENGALURU,6670.0,6661.0,3441.8099300000003,5625.47882
DOHA,CHENNAI,11762.0,12524.0,6173.1955800000005,7262.50471
DOHA,DELHI,22408.0,24843.0,5462.186779999999,6014.771309999999
DOHA,GOA,225.0,142.0,0.792,1.6404
DOHA,HYDERABAD,12342.0,13636.0,2837.0258000000003,3102.02341
DOHA,JAIPUR,670.0,0.0,0.0,0.0
DOHA,KOCHI,20348.0,19956.0,239.66617,1283.2817000000002
