NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
AFGHANISTAN,20372.0,17674.0,312.86101,1634.5351
AUSTRALIA,1703.0,799.0,73.32339999999999,22.2878
BAHRAIN,24254.0,19062.0,723.7775,539.7974
BANGLADESH,30327.0,33327.0,540.908,2384.7470899999994
BELGIUM,0.0,0.0,80.88289,78.93288000000001
BHUTAN,95.0,176.0,0.0,1.289
BURMA,1217.0,567.0,15.0,218.22062999999994
CANADA,48354.0,61364.0,517.2317,920.3424
CHINA,0.0,0.0,2183.987,1783.905
ETHIOPIA,2041.0,2196.0,76.436,111.293
FRANCE,23727.0,31479.0,2595.1915,4690.7899
GEORGIA,7321.0,6850.0,0.0,0.0
GERMANY,37273.0,47081.0,14277.6564,27085.643560000004
HONG KONG,1408.0,1391.0,25891.691899999998,12243.07626
IRAN,1666.0,1454.0,39.758,219.413
IRAQ,3727.0,4977.0,0.0,2.44
ISRAEL,894.0,849.0,42.88,69.6761
ITALY,2340.0,2791.0,108.9109,800.4725
JAPAN,5197.0,3996.0,2965.497,1894.8228000000004
KAZAKHSTAN,177.0,297.0,2.922,502.53748
KENYA,8284.0,9741.0,0.777,70.02669999999999
KOREA,366.0,102.0,1415.2242,1597.8742999999997
KUWAIT,39763.0,4417.0,117.95,2128.6683800000005
KYRGYZSTAN,0.0,618.0,0.0,23.7989
MALAYSIA,21313.0,3312.0,3746.950799999999,2959.55706
MALDIVES,75609.0,81992.0,58.8375,1160.87977
MAURITIUS,616.0,343.0,3.029,595.709
NEPAL,11321.0,11738.0,4.1861999999999995,88.9365
NETHERLANDS,12458.0,19320.0,2007.1605,2210.764
NIGERIA,323.0,322.0,0.011,220.97752999999997
OMAN,93409.0,106069.0,385.9736,2197.7430000000004
PHILIPPINES,64.0,165.0,0.0,0.0
POLAND,0.0,0.0,281.665,636.475
QATAR,128863.0,129939.0,28586.321560000004,34353.69801000001
RUSSIA,3262.0,4255.0,27.083,389.32577
RWANDA,807.0,1061.0,0.0,0.0
SAUDI ARABIA,143418.0,3821.0,23.79,788.6935999999998
SEYCHELLES,66.0,59.0,0.0,0.0
SINGAPORE,27504.0,19521.0,1070.0184,2193.4618000000005
SOUTH AFRICA,0.0,0.0,31.344,144.10623
SPAIN,0.0,0.0,0.0,114.213
SRI LANKA,3794.0,6004.0,1969.948,1579.4572
SUDAN,0.0,0.0,0.0,163.43460000000002
SWITZERLAND,0.0,0.0,1100.6003999999998,1546.782
TAIWAN,36.0,58.0,1449.4936,918.7872
TAJIKISTAN,0.0,0.0,0.0,26.614
THAILAND,1900.0,1076.0,9923.763,2213.4609000000005
TURKEY,2483.0,2867.0,9244.818700000002,9580.023557
TURKMENISTAN,129.0,5.0,0.0,0.0
UNITED ARAB EMIRATES,1103460.0,1138017.0,23208.302361000005,50344.766282000026
UNITED KINGDOM,64299.0,78062.0,4529.7418,6224.5323
UNITED STATES,136870.0,149156.0,2593.3328500000007,4565.76521
UZBEKISTAN,2235.0,2303.0,9.619,49.79056
VIETNAM,146.0,221.0,3515.185,338.19377000000003
YEMEN,738.0,622.0,0.0,5.6615
