NAME OF THE AIRLINE ,JANUARY PASSENGERS TO INDIA,JANUARY PASSENGERS FROM INDIA,JANUARY FREIGHT TO INDIA,JANUARY FREIGHT FROM INDIA,FEBRUARY PASSENGERS TO INDIA,FEBRUARY PASSENGERS FROM INDIA,FEBRUARY FREIGHT TO INDIA,FEBRUARY FREIGHT FROM INDIA,MARCH PASSENGERS TO INDIA,MARCH PASSENGERS FROM INDIA,MARCH FREIGHT TO INDIA,MARCH FREIGHT FROM INDIA
AEROFLOT,0.0,0.0,0.0,0.0,844.0,977.0,11.276,59.347,1871.0,2558.0,15.807,89.247
AEROLOGIC,0.0,0.0,8552.148,8639.202,0.0,0.0,8029.817,8578.985,0.0,0.0,8868.925,8995.881
AIR ARABIA,48742.0,60600.0,84.316,814.944,56610.0,56348.0,146.703,960.843,68971.0,64076.0,133.507,1040.864
AIR ASTANA,0.0,143.0,1.786,137.604,0.0,0.0,0.007,161.658,0.0,0.0,1.129,86.264
AIR CANADA,9174.0,9723.0,79.377,92.998,6714.0,10370.0,77.144,120.388,6069.0,9865.0,78.039,132.887
AIR FRANCE,6986.0,10173.0,651.377,817.22,6027.0,7155.0,466.895,911.023,6421.0,8992.0,727.909,1052.013
AIR MAURITIUS,0.0,0.0,0.0,0.0,304.0,263.0,2.441,248.506,312.0,80.0,0.588,347.203
AIR SEYCHELLES,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,66.0,0.0,0.0,0.0
ALL NIPPON AIRWAYS,406.0,249.0,579.884,391.363,335.0,213.0,550.874,292.86,316.0,358.0,361.593,471.145
ARIANA AFGHAN,396.0,328.0,19.309,34.926,288.0,251.0,30.557,33.634,396.0,427.0,34.188,75.472
BIMAN BANGLADESH,517.0,884.0,0.025,0.403,667.0,897.0,0.083,0.276,810.0,1048.0,0.084,0.288
BRITISH AIRWAYS,6541.0,7753.0,259.01,602.86,7094.0,9973.0,443.21,741.3,10178.0,6940.0,500.25,759.64
CATHAY PACIFIC,0.0,0.0,5775.3874000000005,3371.4714,0.0,0.0,6631.507600000001,2378.5183,0.0,0.0,4073.2971000000002,2371.68461
CHINA AIRLINES LTD,36.0,58.0,521.0862,456.965,0.0,0.0,681.463,557.3371999999999,0.0,0.0,586.443,597.012
CHINA EASTERN AIRLINES,0.0,0.0,154.394,30.098,0.0,0.0,231.698,60.414,0.0,0.0,308.511,143.375
DRUK AIR,10.0,39.0,0.0,0.1255,39.0,0.0,0.0,0.3952,46.0,137.0,0.0,0.7683
EL-AL-ISRAEL,0.0,0.0,3.9,49.003,0.0,119.0,13.754,6.458,327.0,107.0,2.114,5.07
EMIRATES AIRLINE,64094.0,62396.0,3672.8676029999997,5450.096508999999,59981.0,56865.0,5312.389103,8023.613871,68766.0,67256.0,6286.829794999999,9224.418602
ETHIOPIAN AIRLINES,738.0,814.0,40.986,45.793,642.0,709.0,14.192,31.957,661.0,673.0,21.258,33.543
ETIHAD AIRLINES,6487.0,4773.0,1123.509,2128.325,13180.0,6387.0,1245.274,2308.549,18032.0,9703.0,1407.672,2576.511
FEDERAL EXPRESS,0.0,0.0,1527.546,3151.971,0.0,0.0,1338.874,3273.94,0.0,0.0,1528.25,3714.406
FLY DUBAI,49814.0,64641.0,30.242,617.951,43955.0,49710.0,34.217,697.911,55945.0,56644.0,66.298,677.6
GULF AIR,3997.0,3207.0,3.666,103.614,3336.0,2908.0,3.877,88.802,3679.0,3214.0,7.113,94.584
IRAN AIR,66.0,195.0,1.267,9.569,20.0,126.0,0.0,6.74,146.0,261.0,0.462,9.285
IRAQI AIRWAYS,1752.0,1841.0,0.0,0.0,604.0,1161.0,0.0,2.06,1371.0,1975.0,0.0,0.38
ISLAND AVIATION SERVICES,535.0,1882.0,0.081,19.186,782.0,585.0,0.28,39.748,1045.0,1096.0,0.631,31.242
JAPAN AIRLINES,644.0,410.0,333.084,140.832,486.0,326.0,492.906,210.269,512.0,528.0,546.382,285.655
KAM AIR,5023.0,3778.0,0.0,180.013,6554.0,5051.0,0.0,294.264,5717.0,5518.0,0.0,452.623
KENYA AIRWAYS,1345.0,1834.0,0.158,0.105,1388.0,1624.0,0.415,0.0,1627.0,1778.0,0.204,0.0
KLM AIRLINES,4349.0,7013.0,781.984,628.96,3637.0,5385.0,546.994,724.853,4472.0,6922.0,620.05,856.951
KOREAN AIR,0.0,0.0,625.4109,699.3402,0.0,0.0,303.3981,407.337,0.0,0.0,261.0116,383.7225
KUWAIT AIRWAYS,,,0.0,0.0,,,0.0,0.0,3521.0,0.0,0.0,1270.054
