NAME OF THE AIRLINE ,JULY PASSENGERS TO INDIA,JULY PASSENGERS FROM INDIA,JULY FREIGHT TO INDIA,JULY FREIGHT FROM INDIA,AUGUST PASSENGERS TO INDIA,AUGUST PASSENGERS FROM INDIA,AUGUST FREIGHT TO INDIA,AUGUST FREIGHT FROM INDIA,SEPTEMBER PASSENGERS TO INDIA,SEPTEMBER PASSENGERS FROM INDIA,SEPTEMBER FREIGHT TO INDIA,SEPTEMBER FREIGHT FROM INDIA
AEROFLOT,2479.0,2656.0,18.492,130.901,2346.0,3068.0,13.955,123.393,2008.0,2779.0,14.739,107.626
AEROLOGIC,0.0,0.0,6937.101,7629.518,0.0,0.0,7154.339,7982.553,0.0,0.0,7443.226,7657.177
AIR ARABIA,25650.0,530.0,50.272,1204.867,30640.0,64541.0,125.071,1440.976,42441.0,95711.0,397.097,1217.068
AIR ASIA X,0.0,0.0,175.961,281.462,0.0,0.0,150.146,287.889,0.0,0.0,173.058,231.9412
AIR CANADA,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1754.0,3522.0,17.175,46.12
AIR FRANCE,6036.0,11371.0,560.01,733.42,5391.0,11563.0,538.45,728.265,4939.0,10374.0,575.522,797.094
AIR MANAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,818.0,0.0,0.115
AIR MAURITIUS,108.0,249.0,1.261,234.968,231.0,850.0,1.148,276.493,61.0,121.0,1.834,357.566
AIR SEYCHELLES,96.0,414.0,0.0,0.0,174.0,1235.0,0.0,0.0,235.0,590.0,0.0,0.0
ALL NIPPON AIRWAYS,265.0,338.0,124.298,207.309,560.0,501.0,120.797,249.307,486.0,272.0,275.966,341.946
ARIANA AFGHAN,707.0,761.0,55.27,28.925,282.0,204.0,65.209,25.751,0.0,0.0,0.0,0.0
BIMAN BANGLADESH,0.0,0.0,29.425,13.801,0.0,0.0,172.209,82.634,961.0,1178.0,24.427,54.762
BRITISH AIRWAYS,6033.0,5109.0,617.42,1328.07,9173.0,12511.0,728.01,1642.89,12461.0,20298.0,947.75,1719.65
CATHAY PACIFIC,0.0,0.0,6089.0254,3647.7642400000004,0.0,0.0,7170.3642,3265.9336,0.0,0.0,6833.4056,3178.3411
DRUK AIR,375.0,331.0,0.162,10.484200000000001,499.0,556.0,0.152,4.56,537.0,504.0,0.158,7.828
EGYPT AIR,0.0,0.0,176.762,457.922,0.0,0.0,101.939,408.686,0.0,0.0,89.995,417.235
EL-AL-ISRAEL,0.0,0.0,0.41,29.889,0.0,0.0,12.185,253.787,0.0,0.0,62.148,333.06
EMIRATES AIRLINE,57441.0,2788.0,4016.275906,10721.847878,60392.0,56052.0,4001.521776,9749.277970000001,66624.0,72736.0,4268.81142,9364.64373
ETHIOPIAN AIRLINES,1789.0,1971.0,10.052,25.832,1667.0,1976.0,3.64,31.607,1457.0,1743.0,5.575,27.85
ETIHAD AIRLINES,13527.0,12221.0,767.731,966.256,12056.0,9630.0,192.978,299.342,14036.0,9465.0,195.357,555.97
FEDERAL EXPRESS,0.0,0.0,1530.636,3813.418,0.0,0.0,1515.863,3861.626,0.0,0.0,2004.645,4131.593
FLY DUBAI,8537.0,1.0,8.104,246.809,16732.0,42748.0,37.09244,557.658,31304.0,67814.0,140.123,445.6785
GULF AIR,4703.0,4577.0,11.236,89.712,3972.0,4556.0,8.134,83.47,3778.0,5925.0,9.858,126.597
IRAN AIR,15.0,83.0,0.0,78.529,43.0,156.0,2.856,4.912,60.0,94.0,13.468,0.0
IRAQI AIRWAYS,11.0,160.0,0.0,0.0,15.0,241.0,0.0,0.0,562.0,604.0,0.0,0.0
ISLAND AVIATION SERVICES,2046.0,1658.0,2.998,44.803,1029.0,3420.0,0.01,36.55,1052.0,1395.0,0.331,66.63
JAPAN AIRLINES,392.0,219.0,129.128,124.338,654.0,1352.0,15.847,76.338,566.0,512.0,143.503,102.522
JAZEERA AIRWAYS,6217.0,2677.0,4.842,339.417,6625.0,0.0,0.0,413.087,7901.0,5790.0,0.0,237.734
KAM AIR,2269.0,2017.0,0.0,316.005,3095.0,1159.0,0.0,299.239,,,0.0,0.0
KENYA AIRWAYS,257.0,489.0,0.05,15.741,126.0,129.0,0.0,0.0,620.0,775.0,1.708,5.646
KLM AIRLINES,6499.0,9004.0,755.928,693.761,6005.0,10919.0,620.076,660.203,5580.0,10689.0,658.598,686.497
KOREAN AIR,143.0,30.0,180.356,135.663,129.0,25.0,257.978,241.69920000000002,0.0,0.0,126.412,83.31660000000001
KUWAIT AIRWAYS,5930.0,0.0,0.0,952.276,4533.0,0.0,0.0,1021.785,6272.0,4497.0,0.0,1001.081
LOT POLISH,0.0,0.0,138.829,351.1,0.0,0.0,138.299,356.298,0.0,0.0,209.909,503.782
LUFTHANSA,7133.0,11630.0,1358.117,432.126,7111.0,13105.0,1360.838,701.124,7593.0,14615.0,1529.278,730.423
MAHAN AIR,63.0,55.0,12.357,42.052,130.0,414.0,0.669,23.811,428.0,208.0,0.157,46.261
MALAYSIA AIRLINES,0.0,0.0,1164.049,812.68,0.0,0.0,1460.481,1001.449,0.0,0.0,2022.115,1058.796
MALINDO AIRWAYS,0.0,0.0,0.0,0.0,10.0,141.0,3.015,0.0,0.0,0.0,0.0,0.0
MYANMAR AIRLINES,41.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEPAL AIRLINES CORPORATION,1195.0,1101.0,4.95,28.161,1952.0,1814.0,5.868,31.629,3633.0,3416.0,18.517,55.575
OMAN AIR,6518.0,3062.0,302.2869,662.7035999999999,8121.0,6749.0,310.25059999999996,645.9205,8140.0,11535.0,238.17392999999998,663.5525
QATAR AIRWAYS,49050.0,44603.0,7350.95344,10363.53755,66564.0,79952.0,7407.343919999999,9474.91152,66822.0,81439.0,7470.8236799999995,9852.06162
RWANDAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,442.0,0.0,0.0
SRILANKAN AIRWAYS,474.0,439.0,498.403,522.149,676.0,623.0,476.53,604.172,4314.0,8438.0,645.991,633.067
SWISS AIR,0.0,0.0,268.569,417.646,0.0,0.0,229.032,379.922,0.0,0.0,346.391,520.519
