NAME OF THE AIRLINE ,OCTOBER PASSENGERS TO INDIA,OCTOBER PASSENGERS FROM INDIA,OCTOBER FREIGHT TO INDIA,OCTOBER FREIGHT FROM INDIA,NOVEMBER PASSENGERS TO INDIA,NOVEMBER PASSENGERS FROM INDIA,NOVEMBER FREIGHT TO INDIA,NOVEMBER FREIGHT FROM INDIA,DECEMBER PASSENGERS TO INDIA,DECEMBER PASSENGERS FROM INDIA,DECEMBER FREIGHT TO INDIA,DECEMBER FREIGHT FROM INDIA
AEROFLOT,3112.0,3278.0,31.608,140.844,2735.0,2774.0,20.084,161.196,2648.0,2826.0,44.461,143.473
AEROLOGIC,0.0,0.0,7378.768,7457.409,0.0,0.0,7180.536,7327.68,0.0,0.0,7577.264,7170.166
AIR ARABIA,89188.0,129625.0,150.575,1864.173,117735.0,125379.0,176.702,1520.772,133239.0,154281.0,112.207,1522.881
AIR ARABIA-ABU DHABI,0.0,0.0,0.0,0.0,6787.0,6644.0,0.0,0.0,9190.0,12067.0,0.0,0.0
AIR ASIA BERHAD,0.0,0.0,0.0,0.0,0.0,0.0,22.401,9.456,0.0,0.0,0.0,0.0
AIR ASIA X,0.0,0.0,424.131,331.844,0.0,0.0,295.227,204.153,0.0,0.0,399.899,267.529
AIR ASTANA,0.0,222.0,0.0,6.439,0.0,153.0,0.0,0.126,453.0,792.0,0.103,13.994
AIR CANADA,13522.0,19145.0,138.332,234.095,23559.0,24542.0,111.377,219.022,21598.0,25443.0,63.741,137.727
AIR FRANCE,9308.0,8440.0,539.511,970.52,12761.0,11788.0,528.078,911.395,12411.0,12278.0,579.247,796.393
AIR MANAS,19.0,2300.0,1.741,0.0,7.0,430.0,0.0,0.0,,,0.0,0.0
AIR MAURITIUS,335.0,501.0,2.364,218.614,1275.0,1186.0,9.628,25.184,1723.0,1781.0,18.45,367.641
AIR SEYCHELLES,332.0,618.0,0.0,0.0,416.0,577.0,0.0,0.0,416.0,721.0,0.0,0.0
ALL NIPPON AIRWAYS,392.0,528.0,332.791,379.362,513.0,562.0,287.069,254.142,1528.0,786.0,245.812,351.549
BIMAN BANGLADESH,3470.0,3611.0,68.898,136.363,4254.0,4924.0,24.568,71.404,5218.0,5098.0,8.295,117.031
BRITISH AIRWAYS,21040.0,19872.0,940.21,1961.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATHAY PACIFIC,0.0,0.0,7072.21266,3429.7387999999996,0.0,0.0,6148.7687,2602.57985,0.0,0.0,7062.8509,2759.0465
CHINA AIRLINES LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.929,99.585
CHINA EASTERN AIRLINES,0.0,0.0,0.0,0.0,0.0,0.0,16.595,1.923,0.0,0.0,0.0,0.0
DRUK AIR,596.0,535.0,0.17,9.414200000000001,840.0,759.0,0.288,3.917,831.0,812.0,0.434,7.4654
EGYPT AIR,0.0,0.0,30.393,37.761,0.0,0.0,161.543,236.019,0.0,0.0,145.275,182.528
EL-AL-ISRAEL,0.0,0.0,180.942,171.498,0.0,0.0,67.1,123.321,0.0,0.0,12.039,54.562
EMIRATES AIRLINE,75311.0,73900.0,4491.293052,10667.452803,72213.0,70633.0,4378.580684,9359.563414999999,74896.0,74433.0,5499.488868,9226.002100000002
ETHIOPIAN AIRLINES,880.0,797.0,3.182,15.817,1090.0,1089.0,6.682,54.7,828.0,853.0,6.198,21.359
ETIHAD AIRLINES,39639.0,33364.0,859.48,1934.115,39835.0,36441.0,1152.854,1943.312,42023.0,40190.0,907.2241,1613.0603999999998
FEDERAL EXPRESS,0.0,0.0,1990.623,3934.759,0.0,0.0,1811.343,3637.682,0.0,0.0,1705.246,3724.209
FINN AIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.0,2791.0,111.961,98.442
FLY DUBAI,60653.0,67039.0,69.295,558.231,63003.0,64753.0,40.98955,515.2878000000001,58625.0,65736.0,32.37977,474.66703
FLYNAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0
GULF AIR,7020.0,8133.0,11.535,149.102,7162.0,9156.0,8.996,142.138,6998.0,9657.0,18.264,140.749
IRAN AIR,46.0,112.0,0.011,0.185,101.0,178.0,1.06,7.165,253.0,356.0,0.26,9.791
IRAQI AIRWAYS,655.0,1538.0,0.0,0.0,1423.0,821.0,0.0,0.0,1628.0,1812.0,0.0,0.0
ISLAND AVIATION SERVICES,2501.0,1762.0,0.217,118.218,3198.0,3338.0,0.181,109.216,5960.0,3839.0,0.308,123.723
JAPAN AIRLINES,641.0,644.0,214.655,179.005,961.0,1581.0,235.161,525.275,1849.0,2686.0,211.894,170.462
JAZEERA AIRWAYS,7354.0,2509.0,104.567,368.544,14764.0,13225.0,9.632,158.647,17936.0,19629.0,3.2945,261.8519
KENYA AIRWAYS,1762.0,1862.0,0.0,1.4,1823.0,1688.0,0.041,3.494,1888.0,1871.0,0.019,1.111
KLM AIRLINES,10281.0,8780.0,608.922,817.25,10946.0,10239.0,418.759,631.045,10216.0,10799.0,421.371,530.796
KOREAN AIR,0.0,0.0,113.553,39.8812,0.0,0.0,149.592,89.6426,0.0,0.0,130.838,105.6318
KUWAIT AIRWAYS,9637.0,5429.0,0.0,1056.177,15852.0,10984.0,0.0,1222.814,30365.0,28794.0,0.0,1227.035
LOT POLISH,0.0,0.0,212.912,666.651,0.0,0.0,126.609,348.889,0.0,0.0,125.795,270.317
